"","Country.Name","Year","Total.Land","Agriculture.Land","Forest.Area"
"1442","Iceland",1996,100250,18970,0.2366085
"1443","Israel",1996,21640,5640,6.68207
"1444","Italy",1996,294110,153490,27.39587
"1445","Jamaica",1996,10830,4940,31.61404
"1446","Jordan",1996,88240,10510,1.104941
"1447","Japan",1996,364500,53990,68.32812
"1448","Kenya",1996,569140,264510,7.069965
"1449","Cambodia",1996,176520,45800,68.57693
"1450","Kiribati",1996,810,370,15
"1451","St. Kitts and Nevis",1996,260,90,42.30769
"1452","Korea, Rep.",1996,96460,20080,65.52768
"1453","Kuwait",1996,17820,1430,0.2407407
"1454","Latin America & Caribbean (excluding high income)",1996,19125130,6772984,51.21752
"1455","Lao PDR",1996,230800,17000,73.54224
"1456","Lebanon",1996,10230,6180,12.80547
"1457","Liberia",1996,96320,25000,49.3044
"1458","Libya",1996,1759540,156660,0.1233277
"1459","St. Lucia",1996,610,174,35.14754
"1460","Latin America & Caribbean",1996,20071224.4,7079271,49.70049
"1461","Least developed countries: UN classification",1996,20139621,7660470,29.64423
"1462","Low income",1996,13380901,4782690,30.53424
"1463","Liechtenstein",1996,160,70,42.125
"1464","Sri Lanka",1996,62710,23270,35.54138
"1465","Lower middle income",1996,23172817,10549789.6,27.65533
"1466","Low & middle income",1996,94714945,35531304.6,32.50187
"1467","Lesotho",1996,30360,23260,1.357049
"1468","Late-demographic dividend",1996,44547425,15650607,38.73296
"1469","Morocco",1996,446300,309660,11.15259
"1470","Madagascar",1996,581540,365960,22.85415
"1471","Maldives",1996,300,80,3.333333
"1472","Middle East & North Africa",1996,11238830,3894034.6,1.803742
"1473","Mexico",1996,1943950,1063100,35.29803
"1474","Middle income",1996,81390044,30767968.6,32.82602
"1475","Mali",1996,1220190,366500,5.094289
"1476","Malta",1996,320,110,1.09375
"1477","Myanmar",1996,653540,105040,56.01493
"1478","Middle East & North Africa (excluding high income)",1996,8643940,2133624.6,2.181806
"1479","Mongolia",1996,1553560,1184690,7.752903
"1480","Mozambique",1996,786380,479850,53.49068
"1481","Mauritania",1996,1030700,397500,0.3455904
"1482","Mauritius",1996,2030,1030,20.48276
"1483","Malawi",1996,94280,43800,39.22995
"1484","Malaysia",1996,328550,70623,66.67174
"1485","North America",1996,18252520,4843614,35.6714
"1486","Namibia",1996,823290,388200,10.11065
"1487","New Caledonia",1996,18280,2350,45.89716
"1488","Niger",1996,1266700,360000,1.24323
"1489","Nigeria",1996,910770,686000,16.22342
"1490","Nicaragua",1996,120340,46540,34.02028
"1491","Netherlands",1996,33760,19810,10.48578
"1492","Norway",1996,365245,11320,33.18485
"1493","Nepal",1996,143000,42030,29.83776
"1494","Nauru",1996,20,4,0
"1495","New Zealand",1996,263310,149040,37.77525
"1496","OECD members",1996,34384187,13136004,31.00665
"1497","Oman",1996,309500,10710,0.006462036
"1498","Other small states",1996,2032331,817462,27.28536
"1499","Pakistan",1996,770880,361720,2.958178
"1500","Panama",1996,74340,21320,66.40032
"1501","Peru",1996,1280000,221220,60.04422
"1502","Philippines",1996,298170,111050,22.9339
"1503","Papua New Guinea",1996,452860,9550,74.21896
"1504","Poland",1996,306290,184740,29.34409
"1505","Pre-demographic dividend",1996,20167611,8176090,28.86923
"1506","Puerto Rico",1996,8870,3090,43.38782
"1507","Korea, Dem. People’s Rep.",1996,120410,25500,61.79055
"1508","Portugal",1996,91500,37300,36.94208
"1509","Paraguay",1996,397300,190210,50.55021
"1510","West Bank and Gaza",1996,6020,3720,1.508306
"1511","Pacific island small states",1996,64200,8429,62.18022
"1512","Post-demographic dividend",1996,31450329,11936116,31.29138
"1513","French Polynesia",1996,3660,430,23.22404
"1514","Qatar",1996,11610,660,0
"1515","Romania",1996,229520,147820,27.74486
"1516","Rwanda",1996,24670,15450,13.5225
"1517","South Asia",1996,4772910,2709480,16.54783
"1518","Saudi Arabia",1996,2149690,1737850,0.4544841
"1519","Sudan",1996,2376000,1305390,12.49193
"1520","Senegal",1996,192530,89070,47.15109
"1521","Singapore",1996,670,12,24.40299
"1522","Solomon Islands",1996,27990,730,81.82922
"1523","Sierra Leone",1996,72180,28100,41.5683
"1524","El Salvador",1996,20720,13880,16.89189
"1525","San Marino",1996,60,10,0
"1526","Somalia",1996,627340,440610,12.4682
"1527","Sub-Saharan Africa (excluding high income)",1996,23616931,10015770,28.6255
"1528","Sub-Saharan Africa",1996,23617391,10015810,28.62667
"1529","Small states",1996,2501381,852345,37.67691
"1530","Sao Tome and Principe",1996,960,450,58.33333
"1531","Suriname",1996,156000,890,98.76026
"1532","Sweden",1996,410340,32970,68.53585
"1533","Swaziland",1996,17200,12220,29.04651
"1534","Seychelles",1996,460,40,88.41304
"1535","Syrian Arab Republic",1996,183780,137900,2.220046
"1536","Turks and Caicos Islands",1996,950,10,36.21053
"1537","Chad",1996,1259200,484300,5.144219
"1538","East Asia & Pacific (IDA & IBRD countries)",1996,15809250,7499452,28.31798
"1539","Europe & Central Asia (IDA & IBRD countries)",1996,22988924,6578598,38.31411
"1540","Togo",1996,54390,34000,10.39897
"1541","Thailand",1996,510890,208630,30.94326
"1542","Latin America & the Caribbean (IDA & IBRD countries)",1996,19942112,7009504,49.85739
"1543","Timor-Leste",1996,14870,3420,60.44385
"1544","Middle East & North Africa (IDA & IBRD countries)",1996,8637920,2129904.6,2.182275
"1545","Tonga",1996,720,330,12.5
"1546","South Asia (IDA & IBRD)",1996,4772910,2709480,16.54783
"1547","Sub-Saharan Africa (IDA & IBRD countries)",1996,23617391,10015810,28.62667
"1548","Trinidad and Tobago",1996,5130,760,46.08967
"1549","Tunisia",1996,155360,93240,4.888002
"1550","Turkey",1996,769630,393640,12.93946
"1551","Tuvalu",1996,30,20,33.33333
"1552","Tanzania",1996,885800,335000,60.41996
"1553","Uganda",1996,199810,121720,21.12907
"1554","Upper middle income",1996,58217227,20218179,34.8832
"1555","Uruguay",1996,175020,149410,6.518912
"1556","United States",1996,9158960,4163060,33.09345
"1557","St. Vincent and the Grenadines",1996,390,110,65.64103
"1558","Venezuela, RB",1996,882050,216320,57.02738
"1559","British Virgin Islands",1996,150,80,24.6
"1560","Virgin Islands (U.S.)",1996,350,80,62.02857
"1561","Vietnam",1996,325490,76820,33.1236
"1562","Vanuatu",1996,12190,1670,36.09516
"1563","World",1996,129700172.4,49189389.6,31.49326
"1564","Samoa",1996,2830,510,54.62898
"1565","Yemen, Rep.",1996,527970,237550,1.039832
"1566","South Africa",1996,1213090,978900,7.617737
"1567","Zambia",1996,743390,218650,69.68132
"1568","Zimbabwe",1996,386850,142350,52.22179
"1569","Aruba",1997,180,20,2.333333
"1570","Afghanistan",1997,652860,377900,2.067825
"1571","Angola",1997,1246700,575000,48.20919
"1572","Albania",1997,27400,11350,28.29015
"1573","Andorra",1997,470,190,34.04255
"1574","Arab World",1997,13624011,5388279.2,3.565421
"1575","United Arab Emirates",1997,83600,4000,3.47488
"1576","Argentina",1997,2736690,1282350,11.96332
"1577","American Samoa",1997,200,40,90.75
"1578","Antigua and Barbuda",1997,440,90,22.93182
"1579","Australia",1997,7682300,4622000,16.75943
"1580","Austria",1997,82580,29646,46.25091
"1581","Burundi",1997,25680,19520,8.773364
"1582","Benin",1997,112760,28900,46.7453
"1583","Burkina Faso",1997,273600,98500,23.49306
"1584","Bangladesh",1997,130170,93650,11.33748
"1585","Bulgaria",1997,110630,62030,30.37693
"1586","Bahrain",1997,710,90,0.4507042
"1587","Bahamas, The",1997,10010,120,51.44855
"1588","Belize",1997,22810,1480,66.0377
"1589","Bermuda",1997,50,4,20
"1590","Bolivia",1997,1083300,368740,56.21915
"1591","Brazil",1997,8358140,2595660,63.28002
"1592","Barbados",1997,430,190,14.65116
"1593","Brunei Darussalam",1997,5270,100,76.24288
"1594","Bhutan",1997,39800,5720,64.72915
"1595","Botswana",1997,566730,259010,22.74434
"1596","Central African Republic",1997,622980,51230,36.03775
"1597","Canada",1997,9093510,679440,38.26282
"1598","Central Europe and the Baltics",1997,1105006,610260,32.32182
"1599","Switzerland",1997,39527,15757,29.88084
"1600","Channel Islands",1997,190,81,4.210526
"1601","Chile",1997,743532,152220,21.06527
"1602","China",1997,9388230,5233330,18.21883
"1603","Cote d'Ivoire",1997,318000,197000,32.37799
"1604","Cameroon",1997,472710,91600,48.18176
"1605","Congo, Dem. Rep.",1997,2267050,257000,69.77491
"1606","Congo, Rep.",1997,341500,105360,66.19912
"1607","Colombia",1997,1109500,450820,56.4074
"1608","Comoros",1997,1861,1260,24.82536
"1609","Cabo Verde",1997,4030,720,18.55831
"1610","Costa Rica",1997,51060,19530,47.63807
"1611","Caribbean small states",1997,404850,26350,85.89539
"1612","Cuba",1997,107400,66870,21.61918
"1613","Cayman Islands",1997,240,27,52.91667
"1614","Cyprus",1997,9240,1422,18.2316
"1615","Germany",1997,349050,173270,32.48188
"1616","Djibouti",1997,23180,15010,0.2415876
"1617","Dominica",1997,750,170,64.17333
"1618","Denmark",1997,42430,26880,13.50012
"1619","Dominican Republic",1997,48310,25000,28.39371
"1620","Algeria",1997,2381740,396900,0.674045
"1621","East Asia & Pacific (excluding high income)",1997,15929860,7639836,28.55108
"1622","Early-demographic dividend",1997,33138710,13439256.2,23.4737
"1623","East Asia & Pacific",1997,24401790,12496118,25.69948
"1624","Europe & Central Asia (excluding high income)",1997,22683324,6414845,38.44229
"1625","Europe & Central Asia",1997,27414846,8249169,37.41315
"1626","Ecuador",1997,276840,80120,50.56892
"1627","Egypt, Arab Rep.",1997,995450,32449.2,0.05474911
"1628","Euro area",1997,2645452,1261534,35.98882
"1629","Spain",1997,499440,300590,32.08936
"1630","Ethiopia",1997,1e+06,304920,14.1277
"1631","European Union",1997,4209652,2015594,36.09294
"1632","Fragile and conflict affected situations",1997,14824328,4993715,24.45912
"1633","Finland",1997,304590,21500,73.12781
"1634","Fiji",1997,18270,4400,53.21182
"1635","France",1997,547566,300396,27.45441
"1636","Faroe Islands",1997,1396,30,0.05730659
"1637","Gabon",1997,257670,51600,85.38053
"1638","United Kingdom",1997,241930,175850,11.9919
"1639","Ghana",1997,227540,136280,38.78175
"1640","Guinea",1997,245720,138000,28.53655
"1641","Gambia, The",1997,10120,5570,44.99012
"1642","Guinea-Bissau",1997,28120,15370,76.41536
"1643","Equatorial Guinea",1997,28050,3340,63.39037
"1644","Greece",1997,128900,89850,27.23351
"1645","Grenada",1997,340,110,49.97059
"1646","Greenland",1997,410450,2357,0.0005359971
"1647","Guatemala",1997,107160,45220,40.78014
"1648","Guam",1997,540,200,46.2963
"1649","Guyana",1997,196850,17340,84.49784
"1650","High income",1997,34997876.4,13585447,28.48376
"1651","Honduras",1997,111890,33950,61.80356
"1652","Heavily indebted poor countries (HIPC)",1997,19753821,7525790,30.84756
"1653","Haiti",1997,27560,16900,4.031205
"1654","Hungary",1997,89800,61950,20.95991
"1655","IBRD only",1997,69447789,25025435.2,34.13783
"1656","IDA & IBRD total",1997,95769197,36132382.2,32.25047
"1657","IDA total",1997,26321408,11106947,27.2687
"1658","IDA blend",1997,5937580,3266980,22.88816
"1659","Indonesia",1997,1811570,435270,58.04347
"1660","IDA only",1997,20383828,7839967,28.54538
"1661","Isle of Man",1997,570,425,6.070175
"1662","India",1997,2973190,1809810,21.8468
"1663","Ireland",1997,68890,44310,8.476847
"1664","Iran, Islamic Rep.",1997,1628760,638320,5.679646
"1665","Iraq",1997,437370,86600,1.860667
"1666","Iceland",1997,100250,18950,0.2492768
"1667","Israel",1997,21640,5630,6.779113
"1668","Italy",1997,294110,153450,27.66074
"1669","Jamaica",1997,10830,4890,31.57987
"1670","Jordan",1997,88240,10610,1.104941
"1671","Japan",1997,364500,53540,68.30782
"1672","Kenya",1997,569140,265940,6.864919
"1673","Cambodia",1997,176520,45800,67.78495
"1674","Kiribati",1997,810,370,15
"1675","St. Kitts and Nevis",1997,260,90,42.30769
"1676","Korea, Rep.",1997,96460,19830,65.44267
"1677","Kuwait",1997,17820,1430,0.2485971
"1678","Latin America & Caribbean (excluding high income)",1997,19125130,6788370,50.978
"1679","Lao PDR",1997,230800,17560,73.05745
"1680","Lebanon",1997,10230,6220,12.80547
"1681","Liberia",1997,96320,25200,48.99294
"1682","Libya",1997,1759540,156660,0.1233277
"1683","St. Lucia",1997,610,170,35.04918
"1684","Latin America & Caribbean",1997,20071224.4,7094367,49.47871
"1685","Least developed countries: UN classification",1997,20139621,7694232,29.49062
"1686","Low income",1997,13380901,4813282,30.35668
"1687","Liechtenstein",1997,160,70,42.375
"1688","Sri Lanka",1997,62710,23280,35.39467
"1689","Lower middle income",1997,23172807,10687034.2,27.48231
"1690","Low & middle income",1997,94715635,35721858.2,32.4148
"1691","Lesotho",1997,30360,23290,1.363636
"1692","Late-demographic dividend",1997,44548115,15784834,38.7244
"1693","Morocco",1997,446300,308950,11.16133
"1694","Madagascar",1997,581540,374900,22.73911
"1695","Maldives",1997,300,80,3.333333
"1696","Middle East & North Africa",1997,11238830,3884589.2,1.808824
"1697","Mexico",1997,1943950,1063100,35.20008
"1698","Middle income",1997,81390734,30927990.2,32.75394
"1699","Mali",1997,1220190,376500,5.029545
"1700","Malta",1997,320,100,1.09375
"1701","Myanmar",1997,653540,105190,55.34933
"1702","Middle East & North Africa (excluding high income)",1997,8643940,2124129.2,2.187401
"1703","Mongolia",1997,1553560,1288910,7.700185
"1704","Mozambique",1997,786380,481350,53.21219
"1705","Mauritania",1997,1030700,397500,0.3360823
"1706","Mauritius",1997,2030,1020,20.52217
"1707","Malawi",1997,94280,44300,38.88099
"1708","Malaysia",1997,328550,70557,66.43281
"1709","North America",1997,18252520,4828294,35.67477
"1710","Namibia",1997,823290,388200,10.02198
"1711","New Caledonia",1997,18280,2380,45.89716
"1712","Niger",1997,1266700,360000,1.194521
"1713","Nigeria",1997,910770,688000,15.77358
"1714","Nicaragua",1997,120340,48080,33.43859
"1715","Netherlands",1997,33760,19660,10.53021
"1716","Norway",1997,365245,10380,33.17965
"1717","Nepal",1997,143000,42142,29.1965
"1718","Nauru",1997,20,4,0
"1719","New Zealand",1997,263310,149030,37.95792
"1720","OECD members",1997,34384086,13081629,31.02761
"1721","Oman",1997,309500,10700,0.006462036
"1722","Other small states",1997,2032331,817912,27.18664
"1723","Pakistan",1997,770880,366690,2.904862
"1724","Panama",1997,74340,21400,66.16761
"1725","Peru",1997,1280000,223350,59.90563
"1726","Philippines",1997,298170,113350,23.0922
"1727","Papua New Guinea",1997,452860,9620,74.213
"1728","Poland",1997,306290,184570,29.4022
"1729","Pre-demographic dividend",1997,20167611,8205480,28.72339
"1730","Puerto Rico",1997,8870,2910,45.22661
"1731","Korea, Dem. People’s Rep.",1997,120410,25500,60.73748
"1732","Portugal",1997,91500,35820,36.84044
"1733","Paraguay",1997,397300,191710,50.09992
"1734","West Bank and Gaza",1997,6020,3700,1.508306
"1735","Pacific island small states",1997,64200,8419,62.20249
"1736","Post-demographic dividend",1997,31450228,11884221,31.31914
"1737","French Polynesia",1997,3660,430,24.59016
"1738","Qatar",1997,11610,660,0
"1739","Romania",1997,229530,147980,27.74147
"1740","Rwanda",1997,24670,15950,13.62789
"1741","South Asia",1997,4772910,2719272,16.55001
"1742","Saudi Arabia",1997,2149690,1737850,0.4544841
"1743","Sudan",1997,2376000,1308320,12.41852
"1744","Senegal",1997,192530,86280,46.91736
"1745","Singapore",1997,670,12,24.40299
"1746","Solomon Islands",1997,27990,730,81.62915
"1747","Sierra Leone",1997,72180,28090,41.29676
"1748","El Salvador",1997,20720,14060,16.67471
"1749","San Marino",1997,60,10,0
"1750","Somalia",1997,627340,440660,12.34594
"1751","Sub-Saharan Africa (excluding high income)",1997,23616931,10054870,28.47508
"1752","Sub-Saharan Africa",1997,23617391,10054910,28.47625
"1753","Small states",1997,2501381,852681,37.5874
"1754","Sao Tome and Principe",1997,960,460,58.33333
"1755","Suriname",1997,156000,880,98.73526
"1756","Sweden",1997,410340,32590,68.56022
"1757","Swaziland",1997,17200,12230,29.31395
"1758","Seychelles",1997,460,40,88.41304
"1759","Syrian Arab Republic",1997,183780,138040,2.252693
"1760","Turks and Caicos Islands",1997,950,10,36.21053
"1761","Chad",1997,1259200,486300,5.11412
"1762","East Asia & Pacific (IDA & IBRD countries)",1997,15809250,7614296,28.30514
"1763","Europe & Central Asia (IDA & IBRD countries)",1997,22989614,6599415,38.3218
"1764","Togo",1997,54390,34500,10.03309
"1765","Thailand",1997,510890,204420,31.53164
"1766","Latin America & the Caribbean (IDA & IBRD countries)",1997,19942112,7024060,49.63148
"1767","Timor-Leste",1997,14870,3430,59.69065
"1768","Middle East & North Africa (IDA & IBRD countries)",1997,8637920,2120429.2,2.187874
"1769","Tonga",1997,720,310,12.5
"1770","South Asia (IDA & IBRD)",1997,4772910,2719272,16.55001
"1771","Sub-Saharan Africa (IDA & IBRD countries)",1997,23617391,10054910,28.47625
"1772","Trinidad and Tobago",1997,5130,710,45.95127
"1773","Tunisia",1997,155360,93470,5.012873
"1774","Turkey",1997,769630,392420,13.01236
"1775","Tuvalu",1997,30,20,33.33333
"1776","Tanzania",1997,885800,337030,59.96839
"1777","Uganda",1997,199810,121720,20.68765
"1778","Upper middle income",1997,58217927,20240956,34.85125
"1779","Uruguay",1997,175020,149450,6.845675
"1780","United States",1997,9158960,4148850,33.10531
"1781","St. Vincent and the Grenadines",1997,390,110,65.89744
"1782","Venezuela, RB",1997,882050,216360,56.70143
"1783","British Virgin Islands",1997,150,80,24.53333
"1784","Virgin Islands (U.S.)",1997,350,80,61.14286
"1785","Vietnam",1997,325490,78440,33.84989
"1786","Vanuatu",1997,12190,1680,36.09516
"1787","World",1997,129769511.4,49326719.2,31.42043
"1788","Samoa",1997,2830,510,56.07774
"1789","Yemen, Rep.",1997,527970,237200,1.039832
"1790","South Africa",1997,1213090,979450,7.617737
"1791","Zambia",1997,743390,219710,69.45722
"1792","Zimbabwe",1997,386850,144190,51.3765
"1793","Aruba",1998,180,20,2.333333
"1794","Afghanistan",1998,652860,378670,2.067825
"1795","Angola",1998,1246700,575000,48.10909
"1796","Albania",1998,27400,11390,28.21898
"1797","Andorra",1998,470,187,34.04255
"1798","Arab World",1998,13624011,5393336.2,3.548447
"1799","United Arab Emirates",1998,83600,4030,3.552632
"1800","Argentina",1998,2736690,1283300,11.85615
"1801","American Samoa",1998,200,47,90.6
"1802","Antigua and Barbuda",1998,440,90,22.86364
"1803","Australia",1998,7682300,4637860,16.76334
"1804","Austria",1998,82580,29599,46.32599
"1805","Burundi",1998,25680,19130,8.419003
"1806","Benin",1998,112760,30500,46.12451
"1807","Burkina Faso",1998,273600,99700,23.27412
"1808","Bangladesh",1998,130170,94340,11.31751
"1809","Bulgaria",1998,110630,56450,30.42032
"1810","Bahrain",1998,710,90,0.4788732
"1811","Bahamas, The",1998,10010,120,51.44855
"1812","Belize",1998,22810,1480,65.35072
"1813","Bermuda",1998,50,4,20
"1814","Bolivia",1998,1083300,369820,55.96954
"1815","Brazil",1998,8358140,2601120,62.97576
"1816","Barbados",1998,430,190,14.65116
"1817","Brunei Darussalam",1998,5270,100,75.93928
"1818","Bhutan",1998,39800,5720,64.97839
"1819","Botswana",1998,566730,258310,22.5356
"1820","Central African Republic",1998,622980,51490,36.01271
"1821","Canada",1998,9093510,678340,38.25764
"1822","Central Europe and the Baltics",1998,1104996,605100,32.37677
"1823","Switzerland",1998,39526,15723,29.99039
"1824","Channel Islands",1998,190,80,4.210526
"1825","Chile",1998,743532,152190,21.14206
"1826","China",1998,9388230,5236830,18.43037
"1827","Cote d'Ivoire",1998,318000,197000,32.41132
"1828","Cameroon",1998,472710,91600,47.71636
"1829","Congo, Dem. Rep.",1998,2267050,257000,69.63755
"1830","Congo, Rep.",1998,341500,105380,66.14934
"1831","Colombia",1998,1109500,455430,56.17138
"1832","Comoros",1998,1861,1300,24.61042
"1833","Cabo Verde",1998,4030,720,19.16129
"1834","Costa Rica",1998,51060,19150,47.26988
"1835","Caribbean small states",1998,404850,26235,85.83436
"1836","Cuba",1998,107400,66740,21.9702
"1837","Cayman Islands",1998,240,27,52.91667
"1838","Cyprus",1998,9240,1442,18.34524
"1839","Germany",1998,349020,173730,32.50014
"1840","Djibouti",1998,23180,15010,0.2415876
"1841","Dominica",1998,750,170,63.81333
"1842","Denmark",1998,42430,26720,13.59981
"1843","Dominican Republic",1998,48310,25100,29.18236
"1844","Algeria",1998,2381740,398260,0.6703502
"1845","East Asia & Pacific (excluding high income)",1998,15929860,7647325,28.53037
"1846","Early-demographic dividend",1998,33110230,13470245.2,23.34739
"1847","East Asia & Pacific",1998,24401790,12518837,25.68864
"1848","Europe & Central Asia (excluding high income)",1998,22685829,6401689,38.44622
"1849","Europe & Central Asia",1998,27417320,8235187,37.44124
"1850","Ecuador",1998,248360,80270,56.00459
"1851","Egypt, Arab Rep.",1998,995450,32596.2,0.05625596
"1852","Euro area",1998,2645422,1261911,36.22033
"1853","Spain",1998,499440,299580,32.72355
"1854","Ethiopia",1998,1e+06,305080,13.9868
"1855","European Union",1998,4209612,2009721,36.2551
"1856","Fragile and conflict affected situations",1998,14824328,5009545,24.3507
"1857","Finland",1998,304590,21920,73.31495
"1858","Fiji",1998,18270,4300,53.36234
"1859","France",1998,547566,299800,27.61019
"1860","Faroe Islands",1998,1396,30,0.05730659
"1861","Gabon",1998,257670,51600,85.38053
"1862","United Kingdom",1998,241930,175180,12.06465
"1863","Ghana",1998,227540,140300,38.90569
"1864","Guinea",1998,245720,137150,28.39004
"1865","Gambia, The",1998,10120,5520,45.17787
"1866","Guinea-Bissau",1998,28120,15370,76.07397
"1867","Equatorial Guinea",1998,28050,3340,62.97326
"1868","Greece",1998,128900,87820,27.4678
"1869","Grenada",1998,340,110,49.97059
"1870","Greenland",1998,410450,2357,0.0005359971
"1871","Guatemala",1998,107160,44300,40.27622
"1872","Guam",1998,540,200,46.2963
"1873","Guyana",1998,196850,17340,84.47854
"1874","High income",1998,34997845.4,13595586,28.51075
"1875","Honduras",1998,111890,33950,60.24488
"1876","Heavily indebted poor countries (HIPC)",1998,19753821,7552210,30.70085
"1877","Haiti",1998,27560,16900,4.005806
"1878","Hungary",1998,89800,61930,21.08909
"1879","IBRD only",1998,69421824,25049748.2,34.09822
"1880","IDA & IBRD total",1998,95743222,36191152.2,32.17567
"1881","IDA total",1998,26321398,11141404,27.1029
"1882","IDA blend",1998,5937570,3275525,22.68477
"1883","Indonesia",1998,1811570,438770,56.98714
"1884","IDA only",1998,20383828,7865879,28.39054
"1885","Isle of Man",1998,570,430,6.070175
"1886","India",1998,2973190,1808740,21.89561
"1887","Ireland",1998,68890,44160,8.723472
"1888","Iran, Islamic Rep.",1998,1628760,647870,5.69497
"1889","Iraq",1998,437370,89000,1.863868
"1890","Iceland",1998,100250,18910,0.2619451
"1891","Israel",1998,21640,5620,6.876155
"1892","Italy",1998,294110,154840,27.92561
"1893","Jamaica",1998,10830,4840,31.54571
"1894","Jordan",1998,88240,10660,1.104941
"1895","Japan",1998,364500,53100,68.28752
"1896","Kenya",1998,569140,264580,6.659873
"1897","Cambodia",1998,176520,46300,66.99298
"1898","Kiribati",1998,810,340,15
"1899","St. Kitts and Nevis",1998,260,90,42.30769
"1900","Korea, Rep.",1998,96460,19690,65.35766
"1901","Kuwait",1998,17820,1430,0.2564534
"1902","Latin America & Caribbean (excluding high income)",1998,19096650,6808005,50.81414
"1903","Lao PDR",1998,230800,17650,72.57266
"1904","Lebanon",1998,10230,6260,12.80547
"1905","Liberia",1998,96320,25600,48.68148
"1906","Libya",1998,1759540,154500,0.1233277
"1907","St. Lucia",1998,610,155,34.95082
"1908","Latin America & Caribbean",1998,20042744.4,7113787,49.32691
"1909","Least developed countries: UN classification",1998,20139621,7715414,29.33701
"1910","Low income",1998,13380901,4831414,30.17912
"1911","Liechtenstein",1998,160,70,42.625
"1912","Sri Lanka",1998,62710,23290,35.24797
"1913","Lower middle income",1998,23172797,10707161.2,27.3093
"1914","Low & middle income",1998,94689730,35779395.2,32.33682
"1915","Lesotho",1998,30360,23290,1.370224
"1916","Late-demographic dividend",1998,44550690,15789600,38.71421
"1917","Morocco",1998,446300,309760,11.17006
"1918","Madagascar",1998,581540,384900,22.62407
"1919","Maldives",1998,300,80,3.333333
"1920","Middle East & North Africa",1998,11238830,3896426.2,1.813906
"1921","Mexico",1998,1943950,1063250,35.10214
"1922","Middle income",1998,81364759,30968465.2,32.69257
"1923","Mali",1998,1220190,376500,4.964801
"1924","Malta",1998,320,90,1.09375
"1925","Myanmar",1998,653540,105130,54.68372
"1926","Middle East & North Africa (excluding high income)",1998,8643940,2135946.2,2.192995
"1927","Mongolia",1998,1553560,1291320,7.647468
"1928","Mozambique",1998,786380,482350,52.9337
"1929","Mauritania",1998,1030700,397500,0.3265742
"1930","Mauritius",1998,2030,1020,20.56158
"1931","Malawi",1998,94280,45800,38.53203
"1932","Malaysia",1998,328550,70369,66.19388
"1933","North America",1998,18252520,4824224,35.67814
"1934","Namibia",1998,823290,388200,9.933316
"1935","New Caledonia",1998,18280,2400,45.89716
"1936","Niger",1998,1266700,360000,1.145812
"1937","Nigeria",1998,910770,696500,15.32374
"1938","Nicaragua",1998,120340,49130,32.85691
"1939","Netherlands",1998,33760,19730,10.57464
"1940","Norway",1998,365245,10470,33.17444
"1941","Nepal",1998,143000,42254,28.55524
"1942","Nauru",1998,20,4,0
"1943","New Zealand",1998,263310,149030,38.14059
"1944","OECD members",1998,34384055,13098792,31.0485
"1945","Oman",1998,309500,10710,0.006462036
"1946","Other small states",1998,2032331,817352,27.08793
"1947","Pakistan",1998,770880,367600,2.851546
"1948","Panama",1998,74340,21490,65.93489
"1949","Peru",1998,1280000,226030,59.76703
"1950","Philippines",1998,298170,112850,23.25049
"1951","Papua New Guinea",1998,452860,9740,74.20704
"1952","Poland",1998,306290,184430,29.46032
"1953","Pre-demographic dividend",1998,20167611,8234910,28.57754
"1954","Puerto Rico",1998,8870,2725,47.06539
"1955","Korea, Dem. People’s Rep.",1998,120410,25500,59.68441
"1956","Portugal",1998,91500,37700,36.7388
"1957","Paraguay",1998,397300,196020,49.64964
"1958","West Bank and Gaza",1998,6020,3490,1.508306
"1959","Pacific island small states",1998,64200,8339,62.22461
"1960","Post-demographic dividend",1998,31450127,11887844,31.3469
"1961","French Polynesia",1998,3660,430,25.95628
"1962","Qatar",1998,11610,660,0
"1963","Romania",1998,229590,147470,27.73204
"1964","Rwanda",1998,24670,16150,13.73328
"1965","South Asia",1998,4772910,2720694,16.5522
"1966","Saudi Arabia",1998,2149690,1737850,0.4544841
"1967","Sudan",1998,2376000,1311020,12.34511
"1968","Senegal",1998,192530,83900,46.68363
"1969","Singapore",1998,670,12,24.40299
"1970","Solomon Islands",1998,27990,740,81.42908
"1971","Sierra Leone",1998,72180,28090,41.02521
"1972","El Salvador",1998,20720,14500,16.45753
"1973","San Marino",1998,60,10,0
"1974","Somalia",1998,627340,440670,12.22367
"1975","Sub-Saharan Africa (excluding high income)",1998,23616931,10086270,28.32465
"1976","Sub-Saharan Africa",1998,23617391,10086310,28.32582
"1977","Small states",1998,2501381,851926,37.49788
"1978","Sao Tome and Principe",1998,960,460,58.33333
"1979","Suriname",1998,156000,880,98.71026
"1980","Sweden",1998,410340,32310,68.58459
"1981","Swaziland",1998,17200,12230,29.5814
"1982","Seychelles",1998,460,40,88.41304
"1983","Syrian Arab Republic",1998,183780,137540,2.285341
"1984","Turks and Caicos Islands",1998,950,10,36.21053
"1985","Chad",1998,1259200,486300,5.084022
"1986","East Asia & Pacific (IDA & IBRD countries)",1998,15809250,7621778,28.2923
"1987","Europe & Central Asia (IDA & IBRD countries)",1998,22992119,6586119,38.32646
"1988","Togo",1998,54390,35300,9.667218
"1989","Thailand",1998,510890,200520,32.12003
