"","Country.Name","Year","Population","Total.Land","Agriculture.Land","Forest.Area","Population.Density","CO2Emission","Region","IncomeGroup"
"253","China",1994,1191835000,9388250,5228330,17.58417,126.9496,2.565993892,"East Asia & Pacific","Upper middle income"
"254","Congo, Dem. Rep.",1994,40273701,2267050,260000,70.18698,17.7648,0.040700233,"Sub-Saharan Africa","Low income"
"255","Cabo Verde",1994,379156,4030,690,16.7469,94.08337,0.299815907,"Sub-Saharan Africa","Lower middle income"
"256","Costa Rica",1994,3425690,51060,20950,48.74266,67.09146,1.538224124,"Latin America & Caribbean","Upper middle income"
"257","Cuba",1994,10850585,107400,66860,20.56611,101.0297,2.971968608,"Latin America & Caribbean","Upper middle income"
"258","Cyprus",1994,837110,9240,1434,17.89069,90.59632,6.741662386,"Europe & Central Asia","High income"
"259","Algeria",1994,28362253,2381740,396400,0.6851294,11.90821,3.049858662,"Middle East & North Africa","Upper middle income"
"260","Egypt, Arab Rep.",1994,62495745,995450,32460,0.05022854,62.7814,1.365097016,"Middle East & North Africa","Lower middle income"
"261","Spain",1994,39549108,499440,301830,30.18675,79.18691,5.901638793,"Europe & Central Asia","High income"
"262","Ethiopia",1994,55431123,1e+06,304720,14.5504,55.43112,0.040420199,"Sub-Saharan Africa","Low income"
"263","Finland",1994,5088333,304590,24119,72.5664,16.70552,11.246027923,"Europe & Central Asia","High income"
"264","Fiji",1994,765667,18270,4330,52.75972,41.90843,1.06801129,"East Asia & Pacific","Upper middle income"
"265","France",1994,59327194,547566,302049,26.98707,108.3471,5.698798649,"Europe & Central Asia","High income"
"266","Gambia, The",1994,1036829,10120,5570,44.42688,102.4535,0.201594477,"Sub-Saharan Africa","Low income"
"267","Greece",1994,10512922,128900,91700,26.53064,81.55874,7.410792356,"Europe & Central Asia","High income"
"268","Haiti",1994,7674911,27560,15950,4.107402,278.4801,0.039178826,"Latin America & Caribbean","Low income"
"269","Indonesia",1994,193945272,1811570,419710,61.21243,107.0592,1.141628552,"East Asia & Pacific","Lower middle income"
"270","India",1994,942204249,2973190,1812910,21.7004,316.9001,0.811640203,"South Asia","Lower middle income"
"271","Ireland",1994,3590386,68890,43900,7.736682,52.11767,9.100127396,"Europe & Central Asia","High income"
"272","Iran, Islamic Rep.",1994,59725125,1628760,641570,5.633672,36.66908,4.447237423,"Middle East & North Africa","Upper middle income"
"273","Iraq",1994,19597239,437370,93500,1.851064,44.807,3.829373873,"Middle East & North Africa","Upper middle income"
"274","Italy",1994,56843400,294110,157020,26.86614,193.2726,7.16667249,"Europe & Central Asia","High income"
"275","Japan",1994,124961000,364600,55330,68.34997,342.7345,9.389452085,"East Asia & Pacific","High income"
"276","Kenya",1994,26548486,569140,272320,7.480058,46.64667,0.246966852,"Sub-Saharan Africa","Lower middle income"
"277","Korea, Rep.",1994,44641540,96460,20960,65.6977,462.7985,7.706677234,"East Asia & Pacific","High income"
"278","Lebanon",1994,2974640,10230,6070,12.80547,290.7761,4.270260603,"Middle East & North Africa","Upper middle income"
"279","Liberia",1994,2012885,96320,25000,49.92733,20.89789,0.156671643,"Sub-Saharan Africa","Low income"
"280","Libya",1994,4855003,1759540,154750,0.1233277,2.759246,9.090075742,"Middle East & North Africa","Upper middle income"
"281","Sri Lanka",1994,17912000,62710,23230,35.8348,285.6323,0.308517698,"South Asia","Lower middle income"
"282","Mali",1994,9353385,1220190,352500,5.223777,7.665515,0.049398373,"Sub-Saharan Africa","Low income"
"283","Malta",1994,374797,320,130,1.09375,1171.241,6.50633543,"Middle East & North Africa","High income"
"284","Myanmar",1994,42712223,653540,104210,57.34615,65.35518,0.146208756,"East Asia & Pacific","Lower middle income"
"285","Mauritania",1994,2261403,1030700,397300,0.3646066,2.194046,0.530250026,"Sub-Saharan Africa","Lower middle income"
"286","Mauritius",1994,1112846,2030,1050,20.40394,548.2,1.459753641,"Sub-Saharan Africa","Upper middle income"
"287","Netherlands",1994,15382838,33760,19710,10.39692,455.6528,10.746523301,"Europe & Central Asia","High income"
"288","Nepal",1994,20867130,143000,41806,31.12028,145.924,0.081363417,"South Asia","Low income"
"289","New Zealand",1994,3620000,263310,151160,37.4099,13.74805,7.370467403,"East Asia & Pacific","High income"
"290","Pakistan",1994,119769556,770880,357900,3.064809,155.3673,0.708357907,"South Asia","Lower middle income"
"291","Panama",1994,2684183,74340,21350,66.86575,36.10685,1.616156946,"Latin America & Caribbean","Upper middle income"
"292","Portugal",1994,9991525,91500,39520,37.14536,109.197,4.770042511,"Europe & Central Asia","High income"
"293","Romania",1994,22730211,229510,147980,27.75042,99.038,5.077610498,"Europe & Central Asia","Upper middle income"
"294","Saudi Arabia",1994,18311090,2149690,1737850,0.4544841,8.518014,16.876007381,"Middle East & North Africa","High income"
"295","Sudan",1994,23347885,2376000,1281150,12.63874,12.30246,0.141884602,"Sub-Saharan Africa","Lower middle income"
"296","Singapore",1994,3419048,670,12,24.40299,5103.057,19.118755279,"East Asia & Pacific","High income"
"297","Sierra Leone",1994,4283621,72180,28100,42.11139,59.34637,0.119847204,"Sub-Saharan Africa","Low income"
"298","Sweden",1994,8780745,410340,33560,68.48711,21.39871,6.251746293,"Europe & Central Asia","High income"
"299","Thailand",1994,58901666,510890,211200,29.76649,115.2923,2.362564465,"East Asia & Pacific","Upper middle income"
"300","Tanzania",1994,29070615,885800,329000,61.3231,32.81849,0.082748576,"Sub-Saharan Africa","Low income"
"301","Uganda",1994,19907634,199810,121020,22.01191,99.63282,0.035550734,"Sub-Saharan Africa","Low income"
"302","United States",1994,263126000,9158960,4211390,33.06974,28.72881,19.376556437,"North America","High income"
"303","Samoa",1994,168788,2830,510,51.73145,59.6424,0.716940778,"East Asia & Pacific","Upper middle income"
"304","Yemen, Rep.",1994,14692686,527970,237300,1.039832,27.82864,0.761718041,"Middle East & North Africa","Lower middle income"
"305","South Africa",1994,40558495,1213090,972650,7.617737,33.43404,8.323205435,"Sub-Saharan Africa","Upper middle income"
"306","Afghanistan",1995,17099541,652860,377530,2.067825,26.19174,0.072698618,"South Asia","Low income"
"307","Argentina",1995,34994814,2736690,1280450,12.17767,12.78728,3.656645582,"Latin America & Caribbean","Upper middle income"
"308","Australia",1995,18072000,7682300,4633480,16.75162,2.35242,15.596518814,"East Asia & Pacific","High income"
"309","Austria",1995,7948278,82580,29811,46.10075,96.24943,7.521516107,"Europe & Central Asia","High income"
"310","Bulgaria",1995,8406067,110630,61640,30.29016,75.98361,6.900326395,"Europe & Central Asia","Upper middle income"
"311","Brunei Darussalam",1995,297192,5270,100,76.85009,56.39317,16.114505101,"East Asia & Pacific","High income"
"312","Central African Republic",1995,3352767,622980,50100,36.08784,5.381821,0.069998303,"Sub-Saharan Africa","Low income"
"313","Canada",1995,29354000,9093510,679940,38.27318,3.228016,15.933223683,"North America","High income"
"314","China",1995,1204855000,9388240,5228330,17.79573,128.3366,2.755754966,"East Asia & Pacific","Upper middle income"
"315","Congo, Dem. Rep.",1995,41595744,2267050,258000,70.04962,18.34796,0.051043515,"Sub-Saharan Africa","Low income"
"316","Cabo Verde",1995,389127,4030,700,17.34988,96.55757,0.310980734,"Sub-Saharan Africa","Lower middle income"
"317","Costa Rica",1995,3510926,51060,20480,48.37446,68.76079,1.385990192,"Latin America & Caribbean","Upper middle income"
"318","Cuba",1995,10906043,107400,66840,20.91713,101.546,2.357347848,"Latin America & Caribbean","Upper middle income"
"319","Cyprus",1995,855384,9240,1431,18.00433,92.57403,6.293262441,"Europe & Central Asia","High income"
"320","Algeria",1995,28904298,2381740,396490,0.6814346,12.13579,3.298667451,"Middle East & North Africa","Upper middle income"
"321","Egypt, Arab Rep.",1995,63714386,995450,32830,0.0517354,64.00561,1.502382335,"Middle East & North Africa","Lower middle income"
"322","Spain",1995,39724050,499440,297190,30.82096,79.53718,6.082242269,"Europe & Central Asia","High income"
"323","Ethiopia",1995,57309880,1e+06,305000,14.4095,57.30988,0.044725848,"Sub-Saharan Africa","Low income"
"324","Finland",1995,5107790,304590,22440,72.75354,16.76939,10.32014335,"Europe & Central Asia","High income"
"325","Fiji",1995,775498,18270,4400,52.91024,42.44652,1.120672136,"East Asia & Pacific","Upper middle income"
"326","France",1995,59541900,547566,301502,27.14285,108.7392,5.86337915,"Europe & Central Asia","High income"
"327","Gambia, The",1995,1066223,10120,5570,44.61462,105.358,0.202915338,"Sub-Saharan Africa","Low income"
"328","Greece",1995,10562153,128900,91640,26.76493,81.94067,7.458879643,"Europe & Central Asia","High income"
"329","Haiti",1995,7819806,27560,15900,4.082003,283.7375,0.115358616,"Latin America & Caribbean","Low income"
"330","Indonesia",1995,196957849,1811570,429780,60.15611,108.7222,1.14207743,"East Asia & Pacific","Lower middle income"
"331","India",1995,960482795,2973190,1809450,21.7492,323.0479,0.844952257,"South Asia","Lower middle income"
"332","Ireland",1995,3608841,68890,43890,7.983452,52.38556,9.135896261,"Europe & Central Asia","High income"
"333","Iran, Islamic Rep.",1995,60575644,1628760,642080,5.648997,37.19126,4.512344598,"Middle East & North Africa","Upper middle income"
"334","Iraq",1995,20208387,437370,91000,1.854265,46.20433,3.854921622,"Middle East & North Africa","Upper middle income"
"335","Italy",1995,56844303,294110,153330,27.13101,193.2757,7.573033273,"Europe & Central Asia","High income"
"336","Japan",1995,125439000,364600,54430,68.32968,344.0455,9.434444176,"East Asia & Pacific","High income"
"337","Kenya",1995,27346456,569140,272180,7.275011,48.04873,0.276233966,"Sub-Saharan Africa","Lower middle income"
"338","Korea, Rep.",1995,45092991,96460,20480,65.61269,467.4787,8.311071381,"East Asia & Pacific","High income"
"339","Lebanon",1995,3033394,10230,6090,12.80547,296.5195,4.47647124,"Middle East & North Africa","Upper middle income"
"340","Liberia",1995,2073482,96320,25000,49.61586,21.52701,0.159167044,"Sub-Saharan Africa","Low income"
"341","Libya",1995,4948798,1759540,155150,0.1233277,2.812552,9.299399571,"Middle East & North Africa","Upper middle income"
"342","Sri Lanka",1995,18074000,62710,23260,35.68809,288.2156,0.326649884,"South Asia","Lower middle income"
"343","Mali",1995,9604450,1220190,354190,5.159033,7.871274,0.04887068,"Sub-Saharan Africa","Low income"
"344","Malta",1995,377419,320,110,1.09375,1179.434,5.635275384,"Middle East & North Africa","High income"
"345","Myanmar",1995,43237792,653540,104500,56.68054,66.15937,0.160969506,"East Asia & Pacific","Lower middle income"
"346","Mauritania",1995,2327075,1030700,397600,0.3550985,2.257762,0.469587787,"Sub-Saharan Africa","Lower middle income"
"347","Mauritius",1995,1122457,2030,1040,20.44335,552.9345,1.630203206,"Sub-Saharan Africa","Upper middle income"
"348","Netherlands",1995,15459006,33760,19640,10.44135,457.9089,10.887135887,"Europe & Central Asia","High income"
"349","Nepal",1995,21396384,143000,41918,30.47902,149.6251,0.095118175,"South Asia","Low income"
"350","New Zealand",1995,3673400,263310,149750,37.59257,13.95086,7.386109054,"East Asia & Pacific","High income"
"351","Pakistan",1995,122829148,770880,360260,3.011493,159.3363,0.6878173,"South Asia","Lower middle income"
"352","Panama",1995,2739730,74340,21320,66.63304,36.85405,1.08950079,"Latin America & Caribbean","Upper middle income"
"353","Portugal",1995,10026176,91500,39240,37.04372,109.5757,5.173429531,"Europe & Central Asia","High income"
"354","Romania",1995,22684270,229490,147970,27.75066,98.84644,5.603084737,"Europe & Central Asia","Upper middle income"
"355","Saudi Arabia",1995,18735841,2149690,1737850,0.4544841,8.715601,12.609725339,"Middle East & North Africa","High income"
"356","Sudan",1995,24102986,2376000,1296440,12.56534,12.68718,0.142569611,"Sub-Saharan Africa","Lower middle income"
"357","Singapore",1995,3524506,670,12,24.40299,5260.457,13.366397731,"East Asia & Pacific","High income"
"358","Sierra Leone",1995,4274819,72180,28100,41.83984,59.22443,0.093501737,"Sub-Saharan Africa","Low income"
"359","Sweden",1995,8826939,410340,32670,68.51148,21.51128,6.248524772,"Europe & Central Asia","High income"
"360","Thailand",1995,59491790,510890,212100,30.35487,116.4474,2.708838463,"East Asia & Pacific","Upper middle income"
"361","Tanzania",1995,29960776,885800,332000,60.87153,33.82341,0.118599164,"Sub-Saharan Africa","Low income"
"362","Uganda",1995,20550291,199810,121220,21.57049,102.8492,0.045680716,"Sub-Saharan Africa","Low income"
"363","United States",1995,266278000,9158960,4201390,33.08159,29.07295,19.295659859,"North America","High income"
"364","Samoa",1995,170157,2830,510,53.18021,60.12615,0.77582468,"East Asia & Pacific","Upper middle income"
"365","Yemen, Rep.",1995,15320653,527970,237360,1.039832,29.01804,0.734326141,"Middle East & North Africa","Lower middle income"
"366","South Africa",1995,41426810,1213090,975200,7.617737,34.14982,8.698797325,"Sub-Saharan Africa","Upper middle income"
"367","Afghanistan",1996,17822884,652860,377520,2.067825,27.2997,0.066044698,"South Asia","Low income"
"368","Argentina",1996,35419682,2736690,1281420,12.07049,12.94253,3.811457285,"Latin America & Caribbean","Upper middle income"
"369","Australia",1996,18311000,7682300,4652210,16.75553,2.383531,16.501800393,"East Asia & Pacific","High income"
"370","Austria",1996,7959017,82580,29733,46.17583,96.37947,7.938008299,"Europe & Central Asia","High income"
"371","Bulgaria",1996,8362826,110630,61640,30.33354,75.59275,6.763241038,"Europe & Central Asia","Upper middle income"
"372","Brunei Darussalam",1996,304699,5270,100,76.54649,57.81765,15.982251337,"East Asia & Pacific","High income"
"373","Central African Republic",1996,3435821,622980,50220,36.06279,5.515139,0.068306236,"Sub-Saharan Africa","Low income"
"374","Canada",1996,29671900,9093510,680550,38.268,3.262975,16.157371554,"North America","High income"
"375","China",1996,1217550000,9388230,5228720,18.00729,129.689,2.844309582,"East Asia & Pacific","Upper middle income"
"376","Congo, Dem. Rep.",1996,42770544,2267050,258000,69.91226,18.86617,0.054185516,"Sub-Saharan Africa","Low income"
"377","Cabo Verde",1996,398773,4030,700,17.95285,98.95112,0.358632606,"Sub-Saharan Africa","Lower middle income"
"378","Costa Rica",1996,3596732,51060,19950,48.00627,70.44128,1.320299928,"Latin America & Caribbean","Upper middle income"
"379","Cuba",1996,10961012,107400,66150,21.26816,102.0578,2.462952691,"Latin America & Caribbean","Upper middle income"
"380","Cyprus",1996,873423,9240,1432,18.11797,94.5263,6.797248298,"Europe & Central Asia","High income"
"381","Algeria",1996,29411415,2381740,396360,0.6777398,12.34871,3.302510131,"Middle East & North Africa","Upper middle income"
"382","Egypt, Arab Rep.",1996,64933456,995450,31764.6,0.05324225,65.23025,1.571310296,"Middle East & North Africa","Lower middle income"
"383","Spain",1996,39889852,499440,301390,31.45515,79.86916,5.848744212,"Europe & Central Asia","High income"
"384","Ethiopia",1996,59155148,1e+06,305000,14.2686,59.15515,0.048351836,"Sub-Saharan Africa","Low income"
"385","Finland",1996,5124573,304590,22180,72.94067,16.8245,11.958636163,"Europe & Central Asia","High income"
"386","Fiji",1996,784476,18270,4400,53.06076,42.93793,1.140567717,"East Asia & Pacific","Upper middle income"
"387","France",1996,59753098,547566,300963,27.29863,109.1249,6.280524233,"Europe & Central Asia","High income"
"388","Gambia, The",1996,1096708,10120,5570,44.80237,108.3704,0.197274936,"Sub-Saharan Africa","Low income"
"389","Greece",1996,10608800,128900,91720,26.99922,82.30256,7.563654136,"Europe & Central Asia","High income"
"390","Haiti",1996,7965553,27560,15900,4.056604,289.0259,0.129820742,"Latin America & Caribbean","Low income"
"391","Indonesia",1996,199914831,1811570,429680,59.09979,110.3545,1.266992998,"East Asia & Pacific","Lower middle income"
"392","India",1996,978893217,2973190,1805890,21.798,329.24,0.901348777,"South Asia","Lower middle income"
"393","Ireland",1996,3637510,68890,43410,8.230077,52.80171,9.596172382,"Europe & Central Asia","High income"
"394","Iran, Islamic Rep.",1996,61583089,1628760,644270,5.664321,37.8098,4.490033538,"Middle East & North Africa","Upper middle income"
"395","Iraq",1996,20845893,437370,91000,1.857466,47.66192,3.334021287,"Middle East & North Africa","Upper middle income"
"396","Italy",1996,56860281,294110,153490,27.39587,193.33,7.48906561,"Europe & Central Asia","High income"
"397","Japan",1996,125757000,364500,53990,68.32812,345.0123,9.579507892,"East Asia & Pacific","High income"
"398","Kenya",1996,28147734,569140,264510,7.069965,49.45661,0.331424476,"Sub-Saharan Africa","Lower middle income"
"399","Korea, Rep.",1996,45524681,96460,20080,65.52768,471.954,8.869490025,"East Asia & Pacific","High income"
"400","Lebanon",1996,3070960,10230,6180,12.80547,300.1916,4.480222471,"Middle East & North Africa","Upper middle income"
"401","Liberia",1996,2191179,96320,25000,49.3044,22.74895,0.155638129,"Sub-Saharan Africa","Low income"
"402","Libya",1996,5035884,1759540,156660,0.1233277,2.862046,8.768671796,"Middle East & North Africa","Upper middle income"
"403","Sri Lanka",1996,18210000,62710,23270,35.54138,290.3843,0.387844152,"South Asia","Lower middle income"
"404","Mali",1996,9856810,1220190,366500,5.094289,8.078094,0.049479598,"Sub-Saharan Africa","Low income"
"405","Malta",1996,379905,320,110,1.09375,1187.203,5.916929232,"Middle East & North Africa","High income"
"406","Myanmar",1996,43793310,653540,105040,56.01493,67.00938,0.165710082,"East Asia & Pacific","Lower middle income"
"407","Mauritania",1996,2397245,1030700,397500,0.3455904,2.325842,0.465020471,"Sub-Saharan Africa","Lower middle income"
"408","Mauritius",1996,1133996,2030,1030,20.48276,558.6187,1.720327056,"Sub-Saharan Africa","Upper middle income"
"409","Netherlands",1996,15530498,33760,19810,10.48578,460.0266,11.277847497,"Europe & Central Asia","High income"
"410","Nepal",1996,21903379,143000,42030,29.83776,153.1705,0.113508788,"South Asia","Low income"
"411","New Zealand",1996,3732000,263310,149040,37.77525,14.17341,7.674956324,"East Asia & Pacific","High income"
"412","Pakistan",1996,125938339,770880,361720,2.958178,163.3696,0.74994837,"South Asia","Lower middle income"
"413","Panama",1996,2796344,74340,21320,66.40032,37.6156,1.653618797,"Latin America & Caribbean","Upper middle income"
"414","Portugal",1996,10063945,91500,37300,36.94208,109.9885,5.026484644,"Europe & Central Asia","High income"
"415","Romania",1996,22619004,229520,147820,27.74486,98.54916,5.601094681,"Europe & Central Asia","Upper middle income"
"416","Saudi Arabia",1996,19131578,2149690,1737850,0.4544841,8.899692,13.524804593,"Middle East & North Africa","High income"
"417","Sudan",1996,24786190,2376000,1305390,12.49193,13.06844,0.1427799,"Sub-Saharan Africa","Lower middle income"
"418","Singapore",1996,3670704,670,12,24.40299,5478.663,15.066781195,"East Asia & Pacific","High income"
"419","Sierra Leone",1996,4282350,72180,28100,41.5683,59.32876,0.110463414,"Sub-Saharan Africa","Low income"
"420","Sweden",1996,8840998,410340,32970,68.53585,21.54554,6.324031405,"Europe & Central Asia","High income"
"421","Thailand",1996,60151472,510890,208630,30.94326,117.7386,2.996685634,"East Asia & Pacific","Upper middle income"
"422","Tanzania",1996,30811854,885800,335000,60.41996,34.78421,0.112347929,"Sub-Saharan Africa","Low income"
"423","Uganda",1996,21202118,199810,121720,21.12907,106.1114,0.049983827,"Sub-Saharan Africa","Low income"
"424","United States",1996,269394000,9158960,4163060,33.09345,29.41316,19.527890506,"North America","High income"
"425","Samoa",1996,171283,2830,510,54.62898,60.52403,0.770724474,"East Asia & Pacific","Upper middle income"
"426","Yemen, Rep.",1996,15889449,527970,237550,1.039832,30.09536,0.8432777,"Middle East & North Africa","Lower middle income"
"427","South Africa",1996,42210216,1213090,978900,7.617737,34.79562,8.657411703,"Sub-Saharan Africa","Upper middle income"
"428","Afghanistan",1997,18381605,652860,377900,2.067825,28.15551,0.059648382,"South Asia","Low income"
"429","Argentina",1997,35833969,2736690,1282350,11.96332,13.09391,3.851202695,"Latin America & Caribbean","Upper middle income"
"430","Australia",1997,18517000,7682300,4622000,16.75943,2.410346,16.514273208,"East Asia & Pacific","High income"
"431","Austria",1997,7968041,82580,29646,46.25091,96.48875,7.863667996,"Europe & Central Asia","High income"
"432","Bulgaria",1997,8312068,110630,62030,30.37693,75.13394,6.209849583,"Europe & Central Asia","Upper middle income"
"433","Brunei Darussalam",1997,312038,5270,100,76.24288,59.21025,16.217447875,"East Asia & Pacific","High income"
"434","Central African Republic",1997,3517309,622980,51230,36.03775,5.645942,0.069851412,"Sub-Saharan Africa","Low income"
"435","Canada",1997,29987200,9093510,679440,38.26282,3.297649,16.51685906,"North America","High income"
"436","China",1997,1230075000,9388230,5233330,18.21883,131.0231,2.820567891,"East Asia & Pacific","Upper middle income"
"437","Congo, Dem. Rep.",1997,43830146,2267050,257000,69.77491,19.33356,0.043337889,"Sub-Saharan Africa","Low income"
"438","Cabo Verde",1997,408175,4030,720,18.55831,101.2841,0.359355669,"Sub-Saharan Africa","Lower middle income"
"439","Costa Rica",1997,3682725,51060,19530,47.63807,72.12544,1.354192887,"Latin America & Caribbean","Upper middle income"
"440","Cuba",1997,11013983,107400,66870,21.61918,102.5511,2.238025426,"Latin America & Caribbean","Upper middle income"
"441","Cyprus",1997,891192,9240,1422,18.2316,96.44935,6.575312615,"Europe & Central Asia","High income"
"442","Algeria",1997,29886839,2381740,396900,0.674045,12.54832,2.950965038,"Middle East & North Africa","Upper middle income"
"443","Egypt, Arab Rep.",1997,66151117,995450,32449.2,0.05474911,66.45348,1.635681662,"Middle East & North Africa","Lower middle income"
"444","Spain",1997,40057389,499440,300590,32.08936,80.20461,6.292802734,"Europe & Central Asia","High income"
"445","Ethiopia",1997,60976450,1e+06,304920,14.1277,60.97645,0.050034792,"Sub-Saharan Africa","Low income"
"446","Finland",1997,5139835,304590,21500,73.12781,16.8746,11.660578209,"Europe & Central Asia","High income"
"447","Fiji",1997,792860,18270,4400,53.21182,43.39683,0.929630704,"East Asia & Pacific","Upper middle income"
"448","France",1997,59964845,547566,300396,27.45441,109.5116,5.861894899,"Europe & Central Asia","High income"
"449","Gambia, The",1997,1128169,10120,5570,44.99012,111.4792,0.191773573,"Sub-Saharan Africa","Low income"
"450","Greece",1997,10661259,128900,89850,27.23351,82.70953,7.852506913,"Europe & Central Asia","High income"
"451","Haiti",1997,8111951,27560,16900,4.031205,294.3378,0.168614307,"Latin America & Caribbean","Low income"
"452","Indonesia",1997,202826465,1811570,435270,58.04347,111.9617,1.373878882,"East Asia & Pacific","Lower middle income"
"453","India",1997,997405318,2973190,1809810,21.8468,335.4664,0.92007238,"South Asia","Lower middle income"
"454","Ireland",1997,3674171,68890,44310,8.476847,53.33388,9.911617342,"Europe & Central Asia","High income"
"455","Iran, Islamic Rep.",1997,62710557,1628760,638320,5.679646,38.50202,4.301830535,"Middle East & North Africa","Upper middle income"
"456","Iraq",1997,21509291,437370,86600,1.860667,49.17871,3.175784641,"Middle East & North Africa","Upper middle income"
"457","Italy",1997,56890372,294110,153450,27.66074,193.4323,7.566965198,"Europe & Central Asia","High income"
"458","Japan",1997,126057000,364500,53540,68.30782,345.8354,9.525758078,"East Asia & Pacific","High income"
"459","Kenya",1997,28954114,569140,265940,6.864919,50.87345,0.2854661,"Sub-Saharan Africa","Lower middle income"
"460","Korea, Rep.",1997,45953580,96460,19830,65.44267,476.4004,9.35798162,"East Asia & Pacific","High income"
"461","Lebanon",1997,3092670,10230,6220,12.80547,302.3138,5.059411124,"Middle East & North Africa","Upper middle income"
"462","Liberia",1997,2358469,96320,25200,48.99294,24.48577,0.149262933,"Sub-Saharan Africa","Low income"
"463","Libya",1997,5117269,1759540,156660,0.1233277,2.908299,8.789015195,"Middle East & North Africa","Upper middle income"
"464","Sri Lanka",1997,18323000,62710,23280,35.39467,292.1863,0.415672052,"South Asia","Lower middle income"
"465","Mali",1997,10114094,1220190,376500,5.029545,8.28895,0.051846562,"Sub-Saharan Africa","Low income"
"466","Malta",1997,382791,320,100,1.09375,1196.222,6.590792365,"Middle East & North Africa","High income"
"467","Myanmar",1997,44371525,653540,105190,55.34933,67.89412,0.169005122,"East Asia & Pacific","Lower middle income"
"468","Mauritania",1997,2471598,1030700,397500,0.3360823,2.39798,0.452514932,"Sub-Saharan Africa","Lower middle income"
"469","Mauritius",1997,1148284,2030,1020,20.52217,565.6571,1.740436164,"Sub-Saharan Africa","Upper middle income"
"470","Netherlands",1997,15610650,33760,19660,10.53021,462.4008,10.7529534,"Europe & Central Asia","High income"
"471","Nepal",1997,22389803,143000,42142,29.1965,156.572,0.124308954,"South Asia","Low income"
"472","New Zealand",1997,3781300,263310,149030,37.95792,14.36064,8.204273662,"East Asia & Pacific","High income"
"473","Pakistan",1997,129086987,770880,366690,2.904862,167.4541,0.73370119,"South Asia","Lower middle income"
"474","Panama",1997,2853941,74340,21400,66.16761,38.39038,1.978730464,"Latin America & Caribbean","Upper middle income"
"475","Portugal",1997,10108977,91500,35820,36.84044,110.4806,5.250035785,"Europe & Central Asia","High income"
"476","Romania",1997,22553978,229530,147980,27.74147,98.26157,5.074362935,"Europe & Central Asia","Upper middle income"
"477","Saudi Arabia",1997,19505576,2149690,1737850,0.4544841,9.073669,11.086026016,"Middle East & North Africa","High income"
"478","Sudan",1997,25410451,2376000,1308320,12.41852,13.44953,0.169602368,"Sub-Saharan Africa","Lower middle income"
"479","Singapore",1997,3796038,670,12,24.40299,5665.728,18.240147754,"East Asia & Pacific","High income"
"480","Sierra Leone",1997,4305455,72180,28090,41.29676,59.64886,0.103056936,"Sub-Saharan Africa","Low income"
"481","Sweden",1997,8846062,410340,32590,68.56022,21.55788,5.89509852,"Europe & Central Asia","High income"
"482","Thailand",1997,60863506,510890,204420,31.53164,119.1323,3.054653145,"East Asia & Pacific","Upper middle income"
"483","Tanzania",1997,31635251,885800,337030,59.96839,35.71376,0.091109187,"Sub-Saharan Africa","Low income"
"484","Uganda",1997,21865931,199810,121720,20.68765,109.4336,0.050646551,"Sub-Saharan Africa","Low income"
"485","United States",1997,272657000,9158960,4148850,33.10531,29.76943,19.714275738,"North America","High income"
"486","Samoa",1997,172198,2830,510,56.07774,60.84735,0.766629113,"East Asia & Pacific","Upper middle income"
"487","Yemen, Rep.",1997,16408954,527970,237200,1.039832,31.07933,0.814121424,"Middle East & North Africa","Lower middle income"
"488","South Africa",1997,42921506,1213090,979450,7.617737,35.38196,8.803395995,"Sub-Saharan Africa","Upper middle income"
"489","Afghanistan",1998,18863999,652860,378670,2.067825,28.8944,0.05520717,"South Asia","Low income"
"490","Argentina",1998,36241590,2736690,1283300,11.85615,13.24286,3.857870916,"Latin America & Caribbean","Upper middle income"
"491","Australia",1998,18711000,7682300,4637860,16.76334,2.435599,16.935695847,"East Asia & Pacific","High income"
"492","Austria",1998,7976789,82580,29599,46.32599,96.59468,7.981004261,"Europe & Central Asia","High income"
"493","Bulgaria",1998,8256786,110630,56450,30.42032,74.63424,5.934325293,"Europe & Central Asia","Upper middle income"
"494","Brunei Darussalam",1998,319222,5270,100,75.93928,60.57343,16.507255139,"East Asia & Pacific","High income"
"495","Central African Republic",1998,3597385,622980,51490,36.01271,5.774479,0.069315906,"Sub-Saharan Africa","Low income"
"496","Canada",1998,30247900,9093510,678340,38.25764,3.326317,16.743532741,"North America","High income"
"497","China",1998,1241935000,9388230,5236830,18.43037,132.2864,2.67674598,"East Asia & Pacific","Upper middle income"
"498","Congo, Dem. Rep.",1998,44840529,2267050,257000,69.63755,19.77924,0.037209307,"Sub-Saharan Africa","Low income"
"499","Cabo Verde",1998,417323,4030,720,19.16129,103.5541,0.377839228,"Sub-Saharan Africa","Lower middle income"
"500","Costa Rica",1998,3767373,51060,19150,47.26988,73.78325,1.411368081,"Latin America & Caribbean","Upper middle income"
"501","Cuba",1998,11064097,107400,66740,21.9702,103.0177,2.21429973,"Latin America & Caribbean","Upper middle income"
"502","Cyprus",1998,908704,9240,1442,18.34524,98.34459,7.049874327,"Europe & Central Asia","High income"
"503","Algeria",1998,30335732,2381740,398260,0.6703502,12.73679,3.529832971,"Middle East & North Africa","Upper middle income"
"504","Egypt, Arab Rep.",1998,67378056,995450,32596.2,0.05625596,67.68603,1.814286717,"Middle East & North Africa","Lower middle income"
