"","Country.Name","Year","Population","Population.Density","CO2Emission","Total.Land","Agriculture.Land","Forest.Area","Region","IncomeGroup"
"1295","Andorra",1965,18549,39.46596,NA,470,260,NA,"Europe & Central Asia","High income"
"1296","Arab World",1965,106174988,7.793214,1.166267045,13624031,4223400,NA,NA,NA
"1297","United Arab Emirates",1965,150362,1.798589,0.146326865,83600,2090,NA,NA,NA
"1298","Argentina",1965,22283390,8.14246,2.641714344,2736690,1317800,NA,"Latin America & Caribbean","Upper middle income"
"1299","Armenia",1965,2211316,77.67179,NA,NA,NA,NA,NA,NA
"1300","American Samoa",1965,23520,117.6,NA,200,30,NA,NA,NA
"1301","Antigua and Barbuda",1965,60781,138.1386,2.473585495,440,110,NA,NA,NA
"1302","Australia",1965,11388000,1.482369,10.622321391,7682300,4729760,NA,"East Asia & Pacific","High income"
"1303","Austria",1965,7270889,88.04661,5.252196533,82580,34642,NA,"Europe & Central Asia","High income"
"1304","Azerbaijan",1965,4592610,55.18836,NA,NA,NA,NA,NA,NA
"1305","Burundi",1965,3077876,119.855,NA,25680,16240,NA,NA,NA
"1306","Belgium",1965,9463667,NA,11.141655555,NA,NA,NA,"Europe & Central Asia","High income"
"1307","Benin",1965,2632356,23.34477,0.057114995,112760,15220,NA,NA,NA
"1308","Burkina Faso",1965,5174870,18.914,0.019841271,273600,81790,NA,NA,NA
"1309","Bangladesh",1965,55834038,428.9317,NA,130170,96370,NA,"South Asia","Lower middle income"
"1310","Bulgaria",1965,8204168,74.15862,5.645651942,110630,57930,NA,"Europe & Central Asia","Upper middle income"
"1311","Bahrain",1965,187431,271.6391,6.554118582,690,70,NA,NA,NA
"1312","Bahamas, The",1965,140054,13.99141,9.39961015,10010,100,NA,NA,NA
"1313","Bosnia and Herzegovina",1965,3535640,69.32627,NA,NA,NA,NA,NA,NA
"1314","Belarus",1965,8610000,42.44725,NA,NA,NA,NA,"Europe & Central Asia","Upper middle income"
"1315","Belize",1965,106119,4.652302,0.794777561,22810,800,NA,NA,NA
"1316","Bermuda",1965,50100,1002,3.586487026,50,4,NA,NA,NA
"1317","Bolivia",1965,4070590,3.757583,0.371151111,1083300,299150,NA,NA,NA
"1318","Brazil",1965,83498020,9.990024,0.675446675,8358140,1703950,NA,NA,NA
"1319","Barbados",1965,235374,547.3814,0.872449803,430,190,NA,NA,NA
"1320","Brunei Darussalam",1965,102425,19.43548,3.257964364,5270,240,NA,"East Asia & Pacific","High income"
"1321","Bhutan",1965,254464,5.446226,NA,46723,3660,NA,NA,NA
"1322","Botswana",1965,597190,1.053747,NA,566730,260010,NA,"Sub-Saharan Africa","Upper middle income"
"1323","Central African Republic",1965,1648833,2.646687,0.053375933,622980,47800,NA,"Sub-Saharan Africa","Low income"
"1324","Canada",1965,19678000,2.163961,12.814001474,9093510,703370,NA,"North America","High income"
"1325","Central Europe and the Baltics",1965,95447065,86.30199,6.622557244,1105966,474830,NA,NA,NA
"1326","Switzerland",1965,5856472,148.1601,5.185731956,39528,17016,NA,NA,NA
"1327","Channel Islands",1965,114995,605.2368,NA,190,90,NA,NA,NA
"1328","Chile",1965,8617077,11.58938,2.061791371,743532,140690,NA,NA,NA
"1329","China",1965,715185000,76.17873,0.665524211,9388250,3546000,NA,"East Asia & Pacific","Upper middle income"
"1330","Cote d'Ivoire",1965,4321791,13.59054,0.271517063,318000,160800,NA,NA,NA
"1331","Cameroon",1965,5777834,12.22279,0.053946687,472710,77400,NA,NA,NA
"1332","Congo, Dem. Rep.",1965,17369883,7.661888,0.142289847,2267050,251500,NA,"Sub-Saharan Africa","Low income"
"1333","Congo, Rep.",1965,1184316,3.467982,0.207452234,341500,105430,NA,NA,NA
"1334","Colombia",1965,19144223,17.25482,1.195438802,1109500,430080,NA,NA,NA
"1335","Comoros",1965,207424,111.4584,0.070715057,1861,950,NA,NA,NA
"1336","Cabo Verde",1965,231428,57.4263,0.110915706,4030,650,NA,"Sub-Saharan Africa","Lower middle income"
"1337","Costa Rica",1965,1589621,31.13241,0.53287985,51060,15550,NA,"Latin America & Caribbean","Upper middle income"
"1338","Caribbean small states",1965,4585777,11.3285,2.598850751,404800,22200,NA,NA,NA
"1339","Cuba",1965,7951933,74.04034,1.837204614,107400,45480,NA,"Latin America & Caribbean","Upper middle income"
"1340","Curacao",1965,135266,304.6532,NA,NA,NA,NA,NA,NA
"1341","Cayman Islands",1965,8369,34.87083,1.314493966,240,27,NA,NA,NA
"1342","Cyprus",1965,580966,62.87511,1.981936981,9240,4020,NA,"Europe & Central Asia","High income"
"1343","Czech Republic",1965,9779358,126.5609,NA,NA,NA,NA,NA,NA
"1344","Germany",1965,75963695,217.58,NA,349130,195340,NA,"Europe & Central Asia","High income"
"1345","Djibouti",1965,114963,4.959577,1.05260823,23180,13010,NA,NA,NA
"1346","Dominica",1965,65038,86.71733,0.22552969,750,180,NA,NA,NA
"1347","Denmark",1965,4759012,112.3203,9.316576004,42370,30330,NA,NA,NA
"1348","Dominican Republic",1965,3878948,80.29286,0.398941672,48310,22500,NA,NA,NA
"1349","Algeria",1965,12626952,5.301566,0.522448569,2381740,441670,NA,"Middle East & North Africa","Upper middle income"
"1350","East Asia & Pacific (excluding high income)",1965,975817478,61.26186,0.572450183,15928630,5840678,NA,NA,NA
"1351","Early-demographic dividend",1965,1103304703,33.18596,0.69602815,33246133,11563440,NA,NA,NA
"1352","East Asia & Pacific",1965,1136131881,46.55845,0.998665909,24402270,10834468,NA,NA,NA
"1353","Europe & Central Asia (excluding high income)",1965,300740822,13.25135,NA,22695114,591170,NA,NA,NA
"1354","Europe & Central Asia",1965,706609007,25.8278,NA,27358467,2515013,NA,NA,NA
"1355","Ecuador",1965,5250119,18.96445,0.433743883,276840,47300,NA,NA,NA
"1356","Egypt, Arab Rep.",1965,30875964,31.01709,0.895254509,995450,26720,NA,"Middle East & North Africa","Lower middle income"
"1357","Euro area",1965,277856703,105.0152,NA,2645872,1338847,NA,NA,NA
"1358","Spain",1965,31954292,63.93672,2.225610193,499780,326940,NA,"Europe & Central Asia","High income"
"1359","Estonia",1965,1294566,30.53942,NA,NA,NA,NA,"Europe & Central Asia","High income"
"1360","Ethiopia",1965,25013626,22.71901,0.025801617,1101000,586750,NA,"Sub-Saharan Africa","Low income"
"1361","European Union",1965,427592605,101.5425,6.964296827,4210972,2078347,NA,NA,NA
"1362","Fragile and conflict affected situations",1965,133370693,9.05851,0.382995391,14723248,4488360,NA,NA,NA
"1363","Finland",1965,4563732,14.9832,5.549837063,304590,28415,NA,"Europe & Central Asia","High income"
"1364","Fiji",1965,463883,25.39042,0.74307099,18270,2230,NA,"East Asia & Pacific","Upper middle income"
"1365","France",1965,50023774,91.35661,7.033701955,547566,340010,NA,"Europe & Central Asia","High income"
"1366","Faroe Islands",1965,36900,26.43266,3.676937669,1396,30,NA,NA,NA
"1367","Micronesia, Fed. Sts.",1965,52242,NA,NA,NA,NA,NA,"East Asia & Pacific","Lower middle income"
"1368","Gabon",1965,532511,2.06664,0.406288321,257670,52550,NA,NA,NA
"1369","United Kingdom",1965,54348050,224.6437,11.456159513,241930,195850,NA,NA,NA
"1370","Georgia",1965,3921600,68.60982,NA,NA,NA,NA,"Europe & Central Asia","Lower middle income"
"1371","Ghana",1965,7710549,33.88656,0.221145732,227540,117000,NA,NA,NA
"1372","Gibraltar",1965,26041,2604.1,1.830613264,NA,NA,NA,NA,NA
"1373","Guinea",1965,3877806,15.7814,0.179671185,245720,145480,NA,NA,NA
"1374","Gambia, The",1965,400861,39.61077,0.073182475,10120,5280,NA,"Sub-Saharan Africa","Low income"
"1375","Guinea-Bissau",1965,652562,23.20633,0.10114901,28120,13580,NA,NA,NA
"1376","Equatorial Guinea",1965,277396,9.88934,0.10575495,28050,3250,NA,NA,NA
"1377","Greece",1965,8550333,66.33307,1.991253557,128900,86780,NA,"Europe & Central Asia","High income"
"1378","Grenada",1965,94581,278.1794,0.232626003,340,220,NA,NA,NA
"1379","Greenland",1965,39200,0.1147205,8.793316327,341700,2350,NA,NA,NA
"1380","Guatemala",1965,4869716,45.44341,0.405878495,107160,26940,NA,NA,NA
"1381","Guam",1965,74830,138.5741,NA,540,170,NA,NA,NA
"1382","Guyana",1965,651868,3.313853,1.65385937,196710,13590,NA,NA,NA
"1383","High income",1965,805075170,23.04757,8.781344485,34931027.4,13170434,NA,NA,NA
"1384","Hong Kong SAR, China",1965,3597900,3527.353,1.336178604,1020,130,NA,"East Asia & Pacific","High income"
"1385","Honduras",1965,2346010,20.96711,0.320431285,111890,30050,NA,NA,NA
"1386","Heavily indebted poor countries (HIPC)",1965,183311108,9.27947,0.153813494,19754481,7041270,NA,NA,NA
"1387","Croatia",1965,4287000,76.6768,NA,NA,NA,NA,NA,NA
"1388","Haiti",1965,4271133,154.9758,0.071260015,27560,16800,NA,"Latin America & Caribbean","Low income"
"1389","Hungary",1965,10147935,112.7298,6.04003721,90020,69530,NA,NA,NA
"1390","IBRD only",1965,2110279679,30.38142,1.211775393,69459539,16365628,NA,NA,NA
"1391","IDA & IBRD total",1965,2543190731,26.55031,1.054250033,95787600,26562409.3,NA,NA,NA
"1392","IDA total",1965,432911052,16.44295,0.284617902,26328061,10196781.3,NA,NA,NA
"1393","IDA blend",1965,139283107,23.45809,0.529716147,5937530,2926651.3,NA,NA,NA
"1394","Indonesia",1965,100308894,55.37125,0.246138802,1811570,385000,NA,"East Asia & Pacific","Lower middle income"
"1395","IDA only",1965,293627945,14.40021,0.158331461,20390531,7270130,NA,NA,NA
"1396","Isle of Man",1965,50141,87.96667,NA,570,320,NA,"Europe & Central Asia","High income"
"1397","India",1965,497702365,167.3968,0.333476589,2973190,1771770,NA,"South Asia","Lower middle income"
"1398","Ireland",1965,2877300,41.76658,4.772847809,68890,56620,NA,"Europe & Central Asia","High income"
"1399","Iran, Islamic Rep.",1965,24955115,15.32154,2.154490332,1628760,594700,NA,"Middle East & North Africa","Upper middle income"
"1400","Iraq",1965,8375793,19.15036,2.305941539,437370,89200,NA,"Middle East & North Africa","Upper middle income"
"1401","Iceland",1965,192286,1.918065,7.265879991,100250,21200,NA,NA,NA
"1402","Israel",1965,2563000,118.4381,5.050530628,21640,5140,NA,NA,NA
"1403","Italy",1965,52112350,177.1866,3.641502446,294110,204400,NA,"Europe & Central Asia","High income"
"1404","Jamaica",1965,1756266,162.1668,1.703769247,10830,5070,NA,NA,NA
"1405","Jordan",1965,1172550,13.28819,1.213420323,88240,10920,NA,NA,NA
"1406","Japan",1965,98883000,269.6564,3.912905535,366700,70040,NA,"East Asia & Pacific","High income"
"1407","Kazakhstan",1965,11588870,4.292651,NA,NA,NA,NA,NA,NA
"1408","Kenya",1965,9504703,16.70011,0.25964946,569140,252200,NA,"Sub-Saharan Africa","Lower middle income"
"1409","Kyrgyz Republic",1965,2573300,13.41658,NA,NA,NA,NA,NA,NA
"1410","Cambodia",1965,6467197,36.63719,0.062371689,176520,36270,NA,NA,NA
"1411","Kiribati",1965,46453,57.34938,NA,810,430,NA,"East Asia & Pacific","Lower middle income"
"1412","St. Kitts and Nevis",1965,49214,140.6114,0.447067908,350,200,NA,NA,NA
"1413","Korea, Rep.",1965,28704674,297.5811,0.871121999,96460,22780,NA,"East Asia & Pacific","High income"
"1414","Latin America & Caribbean (excluding high income)",1965,237143034,12.39956,1.344776259,19125120,5501960,NA,NA,NA
"1415","Lao PDR",1965,2382594,10.3232,0.075414863,230800,14500,NA,NA,NA
"1416","Lebanon",1965,2092348,204.5306,1.586081761,10230,5960,NA,"Middle East & North Africa","Upper middle income"
"1417","Liberia",1965,1252972,13.00843,0.444849526,96320,25780,NA,"Sub-Saharan Africa","Low income"
"1418","Libya",1965,1733306,0.9850904,0.586024049,1759540,119950,NA,"Middle East & North Africa","Upper middle income"
"1419","St. Lucia",1965,96302,157.8721,0.266546905,610,180,NA,NA,NA
"1420","Latin America & Caribbean",1965,252710810,12.59065,1.402366761,20071304.4,5810327,NA,NA,NA
"1421","Least developed countries: UN classification",1965,271677898,13.48455,0.119967191,20147344,7344550,NA,NA,NA
"1422","Low income",1965,172929952,12.92287,NA,13381701,4691910,NA,NA,NA
"1423","Liechtenstein",1965,18649,116.5563,NA,160,90,NA,"Europe & Central Asia","High income"
"1424","Sri Lanka",1965,11164000,178.0258,0.238138212,62710,21560,NA,"South Asia","Lower middle income"
"1425","Lower middle income",1965,1070587525,46.18734,0.476710535,23179240,9134371.3,NA,NA,NA
"1426","Low & middle income",1965,2515583713,26.55405,0.931211585,94734478,26134145.3,NA,NA,NA
"1427","Lesotho",1965,933655,30.7528,NA,30360,25780,NA,"Sub-Saharan Africa","Lower middle income"
"1428","Late-demographic dividend",1965,1192684380,26.76575,1.437243296,44560095,8502244,NA,NA,NA
"1429","Lithuania",1965,2971450,47.40667,NA,NA,NA,NA,"Europe & Central Asia","High income"
"1430","Luxembourg",1965,331500,NA,36.813803922,NA,NA,NA,"Europe & Central Asia","High income"
"1431","Latvia",1965,2265919,36.43191,NA,NA,NA,NA,"Europe & Central Asia","High income"
"1432","Macao SAR, China",1965,203231,10161.55,0.649566257,NA,NA,NA,"East Asia & Pacific","High income"
"1433","St. Martin (French part)",1965,4841,88.98897,NA,NA,NA,NA,NA,NA
"1434","Morocco",1965,14229044,31.87938,0.299461721,446340,244200,NA,NA,NA
"1435","Monaco",1965,23282,11641,NA,NA,NA,NA,NA,NA
"1436","Moldova",1965,2825000,98.40805,NA,NA,NA,NA,"Europe & Central Asia","Lower middle income"
"1437","Madagascar",1965,5769218,9.920587,0.096613441,581540,352450,NA,NA,NA
"1438","Maldives",1965,102766,342.5533,NA,300,50,NA,NA,NA
"1439","Middle East & North Africa",1965,120973578,10.76388,1.555893329,11238850,2895530,NA,NA,NA
"1440","Mexico",1965,44623043,22.95483,1.686277648,1943950,979790,NA,NA,NA
"1441","Marshall Islands",1965,17284,NA,NA,NA,NA,NA,"East Asia & Pacific","Upper middle income"
"1442","Middle income",1965,2346946499,28.82918,0.983260645,81408707,21442239.3,NA,NA,NA
"1443","Macedonia, FYR",1965,1592432,62.62021,NA,NA,NA,NA,NA,NA
"1444","Mali",1965,5568484,4.56362,0.035560486,1220190,317180,NA,"Sub-Saharan Africa","Low income"
"1445","Malta",1965,318800,996.25,1.483823714,320,140,NA,"Middle East & North Africa","High income"
"1446","Myanmar",1965,23391145,35.79145,0.116635932,653540,105830,NA,"East Asia & Pacific","Lower middle income"
"1447","Middle East & North Africa (excluding high income)",1965,111738154,12.9267,1.141971309,8643980,2013250,NA,NA,NA
"1448","Montenegro",1965,526327,39.13212,NA,NA,NA,NA,"Europe & Central Asia","Upper middle income"
"1449","Mongolia",1965,1107124,0.7126368,1.768707028,1553560,1406830,NA,NA,NA
"1450","Northern Mariana Islands",1965,11105,NA,NA,NA,NA,NA,NA,NA
"1451","Mozambique",1965,8203076,10.43144,0.244524005,786380,466880,NA,NA,NA
"1452","Mauritania",1965,992367,0.9628088,0.162589042,1030700,395230,NA,"Sub-Saharan Africa","Lower middle income"
"1453","Mauritius",1965,753000,370.936,0.404197875,2030,1010,NA,"Sub-Saharan Africa","Upper middle income"
"1454","Malawi",1965,4058673,43.04914,NA,94280,36030,NA,"Sub-Saharan Africa","Low income"
"1455","Malaysia",1965,9526563,28.99578,NA,328550,35944,NA,NA,NA
"1456","North America",1965,214031100,11.72611,17.022087795,18252520,5062104,NA,NA,NA
"1457","Namibia",1965,682551,0.8290529,NA,823290,386460,NA,"Sub-Saharan Africa","Upper middle income"
"1458","New Caledonia",1965,90500,4.950766,13.614497238,18280,2620,NA,NA,NA
"1459","Niger",1965,3913934,3.089867,0.023422725,1266700,315000,NA,NA,NA
"1460","Nigeria",1965,50127214,55.03828,0.234677634,910770,590701.3,NA,NA,NA
"1461","Nicaragua",1965,2062630,17.14002,0.378677223,120340,35180,NA,NA,NA
"1462","Netherlands",1965,12294732,364.1805,8.174053896,33760,22550,NA,"Europe & Central Asia","High income"
"1463","Norway",1965,3723168,10.19362,4.407489804,365245,10110,NA,NA,NA
"1464","Nepal",1965,10913724,76.31975,0.016463949,143000,35530,NA,"South Asia","Low income"
"1465","Nauru",1965,5738,286.9,NA,20,4,NA,NA,NA
"1466","New Zealand",1965,2628400,9.98215,5.212262974,263310,158520,NA,"East Asia & Pacific","High income"
"1467","OECD members",1965,844331730,24.5539,8.370603642,34386867,13458453,NA,NA,NA
"1468","Oman",1965,625009,2.019415,NA,309500,10360,NA,"Middle East & North Africa","High income"
"1469","Other small states",1965,10086706,4.946321,1.657811671,2039234,809980,NA,NA,NA
"1470","Pakistan",1965,50845221,65.95737,0.39284221,770880,372350,NA,"South Asia","Lower middle income"
"1471","Panama",1965,1314626,17.68397,1.163174165,74340,16580,NA,"Latin America & Caribbean","Upper middle income"
"1472","Peru",1965,11607681,9.068501,1.030819248,1280000,177500,NA,NA,NA
"1473","Philippines",1965,30913933,103.6476,0.452296736,298260,81320,NA,NA,NA
"1474","Palau",1965,10782,NA,6.121869783,NA,NA,NA,"East Asia & Pacific","High income"
"1475","Papua New Guinea",1965,2236206,4.937963,0.136105976,452860,5050,NA,NA,NA
"1476","Poland",1965,31444950,102.664,7.862051172,306290,199460,NA,NA,NA
"1477","Pre-demographic dividend",1965,212187233,10.57372,0.267398453,20067411,7439191.3,NA,NA,NA
"1478","Puerto Rico",1965,2594000,292.4464,NA,8870,6090,NA,"Latin America & Caribbean","High income"
"1479","Korea, Dem. People’s Rep.",1965,12547525,104.2067,NA,120410,23800,NA,NA,NA
"1480","Portugal",1965,8998595,98.3453,1.288947997,91500,38990,NA,"Europe & Central Asia","High income"
"1481","Paraguay",1965,2170859,5.46403,0.253378962,397300,108950,NA,NA,NA
"1482","Pacific island small states",1965,1015763,16.15913,0.610132886,62860,5284,NA,NA,NA
"1483","Post-demographic dividend",1965,802234753,25.50606,8.970218148,31452709,11786703,NA,NA,NA
"1484","French Polynesia",1965,93438,25.52951,0.902641324,3660,440,NA,NA,NA
"1485","Qatar",1965,73633,6.342205,85.458585145,11610,510,NA,NA,NA
"1486","Romania",1965,19031576,82.62384,4.136449656,230340,147910,NA,"Europe & Central Asia","Upper middle income"
"1487","Russian Federation",1965,126745000,7.733093,NA,NA,NA,NA,"Europe & Central Asia","Upper middle income"
"1488","Rwanda",1965,3232934,131.0472,0.014745429,24670,13550,NA,NA,NA
"1489","South Asia",1965,636754992,133.217,0.302392384,4779833,2680040,NA,NA,NA
"1490","Saudi Arabia",1965,4843635,2.253178,0.871394521,2149690,862620,NA,"Middle East & North Africa","High income"
"1491","Sudan",1965,8770097,5.051545,0.202254536,2376000,1092420,NA,"Sub-Saharan Africa","Lower middle income"
"1492","Senegal",1965,3682876,19.12884,0.460008428,192530,88470,NA,NA,NA
"1493","Singapore",1965,1886900,2816.269,1.340945466,670,130,NA,"East Asia & Pacific","High income"
"1494","Solomon Islands",1965,136847,4.889139,0.187574444,27990,550,NA,NA,NA
"1495","Sierra Leone",1965,2473294,34.26564,0.114163136,72180,26340,NA,"Sub-Saharan Africa","Low income"
"1496","El Salvador",1965,3197863,153.3747,0.325663732,20850,12600,NA,NA,NA
"1497","San Marino",1965,17441,290.6833,NA,60,10,NA,NA,NA
"1498","Somalia",1965,3068437,4.891187,NA,627340,439250,NA,NA,NA
"1499","Sub-Saharan Africa (excluding high income)",1965,257692753,10.91099,0.676338978,23617731,9507051.3,NA,NA,NA
"1500","South Sudan",1965,3263638,NA,NA,NA,NA,NA,"Sub-Saharan Africa","Low income"
"1501","Sub-Saharan Africa",1965,257740253,10.91279,0.676235148,23618191,9507101.3,NA,NA,NA
"1502","Small states",1965,15688246,6.258041,1.961658684,2506894,837464,NA,NA,NA
"1503","Sao Tome and Principe",1965,64796,67.49583,0.169778999,960,360,NA,NA,NA
"1504","Suriname",1965,331793,2.126878,2.398299542,156000,470,NA,NA,NA
"1505","Slovak Republic",1965,4370983,90.87283,NA,NA,NA,NA,"Europe & Central Asia","High income"
"1506","Slovenia",1965,1649160,81.88481,NA,NA,NA,NA,"Europe & Central Asia","High income"
"1507","Sweden",1965,7733853,18.84743,8.097993717,410340,38490,NA,"Europe & Central Asia","High income"
"1508","Swaziland",1965,391546,22.7643,NA,17200,14840,NA,"Sub-Saharan Africa","Lower middle income"
"1509","Seychelles",1965,47500,103.2609,NA,460,50,NA,NA,NA
"1510","Syrian Arab Republic",1965,5373137,29.23679,0.684516512,183780,142990,NA,NA,NA
"1511","Turks and Caicos Islands",1965,5672,5.970526,NA,950,10,NA,NA,NA
"1512","Chad",1965,3309573,2.626645,0.03213194,1260000,479000,NA,NA,NA
"1513","East Asia & Pacific (IDA & IBRD countries)",1965,963246433,60.93403,0.571362201,15808020,5816848,NA,NA,NA
"1514","Europe & Central Asia (IDA & IBRD countries)",1965,332185772,14.44198,NA,23001404,790630,NA,NA,NA
"1515","Togo",1965,1708630,31.41441,0.0772619,54390,30750,NA,NA,NA
"1516","Thailand",1965,31822796,62.28894,0.234151141,510890,129400,NA,"East Asia & Pacific","Upper middle income"
"1517","Tajikistan",1965,2487953,17.77617,NA,NA,NA,NA,NA,NA
"1518","Turkmenistan",1965,1892599,4.027406,NA,NA,NA,NA,NA,NA
"1519","Latin America & the Caribbean (IDA & IBRD countries)",1965,241525127,12.11126,1.378542279,19942192,5758190,NA,NA,NA
"1520","Timor-Leste",1965,548218,36.86738,NA,14870,2300,NA,"East Asia & Pacific","Lower middle income"
"1521","Middle East & North Africa (IDA & IBRD countries)",1965,111738154,12.93571,1.141337327,8637960,2009600,NA,NA,NA
"1522","Tonga",1965,74362,103.2806,0.147938463,720,300,NA,NA,NA
"1523","South Asia (IDA & IBRD)",1965,636754992,133.217,0.302392384,4779833,2680040,NA,NA,NA
"1524","Sub-Saharan Africa (IDA & IBRD countries)",1965,257740253,10.91279,0.676235148,23618191,9507101.3,NA,NA,NA
"1525","Trinidad and Tobago",1965,912417,177.8591,5.694916908,5130,980,NA,NA,NA
"1526","Tunisia",1965,4545339,29.25682,0.542143061,155360,86480,NA,NA,NA
"1527","Turkey",1965,30972965,40.24397,0.884281598,769630,372960,NA,NA,NA
"1528","Tuvalu",1965,6815,227.1667,NA,30,20,NA,"East Asia & Pacific","Upper middle income"
"1529","Tanzania",1965,11683528,13.1898,0.099493834,885800,270000,NA,"Sub-Saharan Africa","Low income"
"1530","Uganda",1965,8014401,40.11011,0.078241281,199810,98710,NA,"Sub-Saharan Africa","Low income"
"1531","Ukraine",1965,45261935,78.12537,NA,NA,NA,NA,"Europe & Central Asia","Lower middle income"
"1532","Upper middle income",1965,1276358974,21.91947,1.407681145,58229467,12307868,NA,NA,NA
"1533","Uruguay",1965,2694537,15.39559,2.049517969,175020,159730,NA,NA,NA
"1534","United States",1965,194303000,21.21453,17.451725249,9158960,4358730,NA,"North America","High income"
"1535","Uzbekistan",1965,10143740,23.84518,NA,NA,NA,NA,NA,NA
"1536","St. Vincent and the Grenadines",1965,85970,220.4359,0.170617657,390,110,NA,NA,NA
"1537","Venezuela, RB",1965,9824692,11.13848,6.187253402,882050,195140,NA,NA,NA
"1538","British Virgin Islands",1965,8814,58.76,NA,150,60,NA,NA,NA
"1539","Virgin Islands (U.S.)",1965,44000,125.7143,NA,350,160,NA,NA,NA
"1540","Vietnam",1965,38341000,117.7947,0.343353851,325490,63120,NA,NA,NA
"1541","Vanuatu",1965,74289,6.094258,NA,12190,1130,NA,"East Asia & Pacific","Lower middle income"
"1542","World",1965,3324951621,25.63147,3.436667558,129721435.4,39304583.3,NA,NA,NA
"1543","Samoa",1965,127068,44.90035,0.230868511,2830,620,NA,"East Asia & Pacific","Upper middle income"
"1544","Kosovo",1965,1078000,99.01718,NA,NA,NA,NA,"Europe & Central Asia","Lower middle income"
"1545","Yemen, Rep.",1965,5643643,10.68933,0.69654016,527970,233800,NA,"Middle East & North Africa","Lower middle income"
"1546","South Africa",1965,19813947,16.33345,6.473251342,1213090,966100,NA,"Sub-Saharan Africa","Upper middle income"
"1547","Zambia",1965,3563407,4.793456,NA,743390,195130,NA,"Sub-Saharan Africa","Lower middle income"
"1548","Zimbabwe",1965,4410212,11.40032,NA,386850,113050,NA,"Sub-Saharan Africa","Low income"
"1549","Aruba",1966,57715,320.6389,NA,180,20,NA,"Latin America & Caribbean","High income"
"1550","Afghanistan",1966,10152331,15.55055,0.107636955,652860,379130,NA,"South Asia","Low income"
"1551","Angola",1966,6309770,5.061178,0.246412785,1246700,573000,NA,NA,NA
"1552","Albania",1966,1914573,69.87493,1.333055465,27400,12400,NA,NA,NA
"1553","Andorra",1966,19647,41.80213,NA,470,260,NA,"Europe & Central Asia","High income"
"1554","Arab World",1966,109230593,8.017494,1.27326386,13624031,4224290,NA,NA,NA
"1555","United Arab Emirates",1966,160481,1.919629,0.159950399,83600,2100,NA,NA,NA
"1556","Argentina",1966,22608748,8.261348,2.792653799,2736690,1309480,NA,"Latin America & Caribbean","Upper middle income"
"1557","Armenia",1966,2276031,79.94489,NA,NA,NA,NA,NA,NA
"1558","American Samoa",1966,24321,121.605,NA,200,30,NA,NA,NA
"1559","Antigua and Barbuda",1966,62059,141.0432,5.613448493,440,110,NA,NA,NA
"1560","Australia",1966,11651000,1.516603,10.328092438,7682300,4741540,NA,"East Asia & Pacific","High income"
"1561","Austria",1966,7322066,88.66634,5.361724683,82580,34060,NA,"Europe & Central Asia","High income"
"1562","Azerbaijan",1966,4721525,56.73751,NA,NA,NA,NA,NA,NA
"1563","Burundi",1966,3152723,122.7696,NA,25680,16210,NA,NA,NA
"1564","Belgium",1966,9527807,NA,11.042019428,NA,NA,NA,"Europe & Central Asia","High income"
"1565","Benin",1966,2682159,23.78644,0.042382648,112760,15520,NA,NA,NA
"1566","Burkina Faso",1966,5256363,19.21185,0.019533659,273600,81900,NA,NA,NA
"1567","Bangladesh",1966,57672990,443.059,NA,130170,96500,NA,"South Asia","Lower middle income"
"1568","Bulgaria",1966,8258057,74.64573,5.905436715,110630,58020,NA,"Europe & Central Asia","Upper middle income"
"1569","Bahrain",1966,191780,277.942,3.384393576,690,70,NA,NA,NA
"1570","Bahamas, The",1966,146366,14.62198,7.465982537,10010,100,NA,NA,NA
"1571","Bosnia and Herzegovina",1966,3586634,70.32616,NA,NA,NA,NA,NA,NA
"1572","Belarus",1966,8696496,42.87367,NA,NA,NA,NA,"Europe & Central Asia","Upper middle income"
"1573","Belize",1966,109347,4.793819,0.737779729,22810,810,NA,NA,NA
"1574","Bermuda",1966,51000,1020,3.954607843,50,4,NA,NA,NA
"1575","Bolivia",1966,4152668,3.83335,0.407084554,1083300,299510,NA,NA,NA
"1576","Brazil",1966,85837799,10.26996,0.749139805,8358140,1750940,NA,NA,NA
"1577","Barbados",1966,236044,548.9395,1.134072461,430,190,NA,NA,NA
"1578","Brunei Darussalam",1966,107316,20.36357,4.578795333,5270,230,NA,"East Asia & Pacific","High income"
"1579","Bhutan",1966,262244,5.612739,NA,46723,3680,NA,NA,NA
"1580","Botswana",1966,614613,1.08449,NA,566730,260010,NA,"Sub-Saharan Africa","Upper middle income"
"1581","Central African Republic",1966,1682885,2.701347,0.050116912,622980,47900,NA,"Sub-Saharan Africa","Low income"
"1582","Canada",1966,20048000,2.204649,12.934918146,9093510,704640,NA,"North America","High income"
"1583","Central Europe and the Baltics",1966,96148635,86.93712,6.783585314,1105956,475110,NA,NA,NA
"1584","Switzerland",1966,5918002,149.7167,5.327620031,39528,16957,NA,NA,NA
"1585","Channel Islands",1966,116227,611.7211,NA,190,90,NA,NA,NA
"1586","Chile",1966,8806137,11.84366,2.134122488,743532,142380,NA,NA,NA
"1587","China",1966,735400000,78.33196,0.710891382,9388250,3582000,NA,"East Asia & Pacific","Upper middle income"
"1588","Cote d'Ivoire",1966,4487204,14.1107,0.288476076,318000,160800,NA,NA,NA
